Name,Specialization,ID,advisor_id,advisor_name,advisor_school,advisor_year,advisor_dissertation
"Patrick Lam (Department of Electrical and Computer Engineering, Faculty of Engineering)",programming-languages,103216,['71513'],['Martin C. Rinard'],['Stanford University'],['1994'],"The Design, Implementation and Evaluation of Jade:  A Portable, Implicitly Parallel Programming Language"
Peter Forsyth,scientific-computation,66894,['68238'],['Henning  Rasmussen'],['University of Queensland'],['1968'],Steady viscous axisymmetric flows associated with rotating disks.
Alan George,scientific-computation,50835,['4319'],['George Elmer Forsythe'],['Brown University'],['1941'],"Riesz Summabilitly Methods of Order r, for R (r) < 0,  Cesaro Summability of Independent Random Variables"
George Labahn,scientific-computation,87911,['72398'],['Stanley  Cabay'],['University of Toronto'],['1971'],Second-Order Hyperbolic Equations with Data onTwo Intersecting Boundaries
Yuying Li,scientific-computation,66915,['42579'],['Andrew Roger Conn'],['University of Waterloo'],['1971'],A Gradient Type Method of Locating Constrained Minima
Daniel Berry,software-engineering,14473,"['13683', '15166']","['Clement Leo McGowan. III', 'Peter  Wegner']","['Cornell University', 'University of London']","['1971', '1968']","Programming Languages, Information Structures And Machine Organization"
Donald Cowan,software-engineering,66817,['15914'],['Gerald  Berman'],['University of Toronto'],['1950'],Finite Projective Geometries
Michael Godfrey,software-engineering,90655,['67141'],['Richard Craig Holt'],['Cornell University'],['1971'],On Deadlock in Computer Systems
Shane McIntosh,software-engineering,220043,['90657'],['Ahmed  Hassan'],['University of Waterloo'],['2005'],Mining Software Repositories to Assist Developers and Support Managers
Chengnian Sun,software-engineering,185328,"['4794', '72059']","['Yeneng  Sun', 'Xiao  Luo']","['University of Illinois at Urbana-Champaign', 'University of Victoria']","['1989', '1993']",Nonstandard Theory of Vector Measures
Tim Brecht,systems-and-networking,91384,['67136'],['Songnian  Zhou'],"['University of California, Berkeley']",['1987'],Performance Studies of Dynamic Load Balancing in Distributed Systems
Srinivasan Keshav,systems-and-networking,73556,['32850'],['Domenico  Ferrari'],['Politecnico di Milano'],['1963'],
Ali Mashtizadeh,systems-and-networking,233022,['61965'],['David Folkman Mazières'],['Massachusetts Institute of Technology'],['2000'],Self-Certifying File System
David Taylor,systems-and-networking,66870,['66871'],['David E. Morgan'],['University of Waterloo'],['1971'],Representation and Analysis of Computer Systems and Processes
Paul Ward,systems-and-networking,66942,['66870'],['David J. Taylor'],['University of Waterloo'],['1977'],Robust Data Structure Implementations for Software Reliability
