Name,Specialization,ID,school,year,Generation
Ming Li,health-informatics,94793,['Cornell University'],['1985'],0
Ian McKillop,health-informatics,N/A,,,0
Jeff Orchard,health-informatics,N/A,,,0
Pascal Poupart,health-informatics,97099,['University of Toronto'],['2005'],0
Justin Wan,health-informatics,N/A,,,0
Johnny Wong,health-informatics,66882,"['University of California, Los Angeles']",['1975'],0
Trevor Brown,programming-languages,252543,['University of Toronto'],['2017'],0
Peter Buhr,programming-languages,N/A,,,0
Ondřej Lhoták,programming-languages,N/A,,,0
Prabhakar Ragde,programming-languages,66895,"['University of California, Berkeley']",['1986'],0
Yizhou Zhang,programming-languages,273183,['Cornell University'],['2019'],0
Brad Lushman,programming-languages,111760,['University of Waterloo'],['2007'],0
Nomair Naeem,programming-languages,N/A,,,0
Gregor Richards,programming-languages,N/A,,,0
"Werner Dietl (Department of Electrical and Computer Engineering, Faculty of Engineering)",programming-languages,142874,['ETH Zürich'],['2009'],0
"Patrick Lam (Department of Electrical and Computer Engineering, Faculty of Engineering)",programming-languages,103216,['Massachusetts Institute of Technology'],['2007'],0
Christopher Batty,scientific-computation,147355,['University of British Columbia'],['2010'],0
Peter Forsyth,scientific-computation,66894,['University of Western Ontario'],['1979'],0
Kimon Fountoulakis,scientific-computation,N/A,,,0
Alan George,scientific-computation,50835,['Stanford University'],['1971'],0
George Labahn,scientific-computation,87911,['University of Alberta'],['1988'],0
Anita Layton (Cross appointed from the Department of Applied Mathematics),scientific-computation,65049,['University of Toronto'],['2001'],0
Yuying Li,scientific-computation,66915,['University of Waterloo'],['1988'],0
Jeff Orchard,scientific-computation,N/A,,,0
Justin Wan,scientific-computation,N/A,,,0
Paulo Alencar,software-engineering,227840,[''],[''],0
Joanne Atlee,software-engineering,66892,['University of Maryland College Park'],['1992'],0
Daniel Berry,software-engineering,14473,['Brown University'],['1974'],0
Donald Cowan,software-engineering,66817,['University of Waterloo'],['1965'],0
Nancy Day,software-engineering,72132,['University of British Columbia'],['1998'],0
Michael Godfrey,software-engineering,90655,['University of Toronto'],['1997'],0
Shane McIntosh,software-engineering,220043,"[""Queen's University at Kingston""]",['2015'],0
Mei Nagappan,software-engineering,N/A,,,0
Chengnian Sun,software-engineering,185328,['National University of Singapore'],['2013'],0
Richard Trefler,software-engineering,69919,['University of Texas at Austin'],['1999'],0
Shalev Ben-David,Quantum computing,251553,['Massachusetts Institute of Technology'],['2017'],0
Richard Cleve,Quantum computing,81270,['University of Toronto'],['1989'],0
John Watrous,Quantum computing,75330,['University of Wisconsin-Madison'],['1998'],0
Omid Abari,systems-and-networking,N/A,,,0
Samer Al Kiswany,systems-and-networking,N/A,,,0
Raouf Boutaba,systems-and-networking,73170,[''],['D.'],0
Tim Brecht,systems-and-networking,91384,['University of Toronto'],['1994'],0
Peter Buhr,systems-and-networking,N/A,,,0
Khuzaima Daudjee,systems-and-networking,N/A,,,0
Ian Goldberg,systems-and-networking,70144,"['University of California, Berkeley']",['2000'],0
Sergey Gorbunov,systems-and-networking,203875,['Massachusetts Institute of Technology'],['2015'],0
Urs Hengartner,systems-and-networking,145850,['Carnegie Mellon University'],['2005'],0
Martin Karsten,systems-and-networking,N/A,,,0
Srinivasan Keshav,systems-and-networking,73556,"['University of California, Berkeley']",['1991'],0
Ali Mashtizadeh,systems-and-networking,233022,['Stanford University'],['2017'],0
Mina Tahmasbi Arashloo,systems-and-networking,N/A,,,0
David Taylor,systems-and-networking,66870,['University of Waterloo'],['1977'],0
Richard Trefler,systems-and-networking,69919,['University of Texas at Austin'],['1999'],0
Paul Ward,systems-and-networking,66942,['University of Waterloo'],['2002'],0
Bernard Wong,systems-and-networking,N/A,,,0
Johnny Wong,systems-and-networking,66882,"['University of California, Los Angeles']",['1975'],0
Hong Zhang,systems-and-networking,N/A,,,0
